,,,,Command Area,,Non command Area,,Poor quality area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Residential,,Residential,,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,G.K.VALASA,,,5,0,,,5,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180010101,001,G.K.VALASA,,,,,,,,,,,,,
2,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KORAPAM,,,6,1,,,7,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180020102,002,KORAPAM,,,,,,,,,,,,,
3,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,M.K.VALASA,,,4,0,,,4,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180030103,003,M.K.VALASA,,,,,,,,,,,,,
4,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,NIMMATHORLAVADA,,,7,0,,,7,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180040103,004,NIMMATHORLAVADA,,,,,,,,,,,,,
5,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,VEDULLAVALASA,,,5,0,,,5,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180050104,005,VEDULLAVALASA,,,,,,,,,,,,,
6,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,THURAKAPETA,,,3,0,,,3,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180060105,006,THURAKAPETA,,,,,,,,,,,,,
7,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,DANDEMVALASA,,,4,0,,,4,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180070106,007,DANDEMVALASA,,,,,,,,,,,,,
8,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,CHINTALAPETA,,,5,0,,,5,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180080106,008,CHINTALAPETA,,,,,,,,,,,,,
9,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,BOBBILIPETA,,,6,0,,,6,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180090107,009,BOBBILIPETA,,,,,,,,,,,,,
10,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,SRINIVASACHARYULUPETA,,,10,1,,,11,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180200108,020,SRINIVASACHARYULUPETA,,,,,,,,,,,,,
11,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,AKKULAPETA,,,5,1,,,6,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180210115,021,AKKULAPETA,,,,,,,,,,,,,
12,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,MALLUSASTRULUPETA,,,,0,,,0,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180220112,022,MALLUSASTRULUPETA,,,,,,,,,,,,,
13,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,SRIRAMVALASA(UI),,,,0,,,0,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180270112,027,SRIRAMVALASA(UI),,,,,,,,,,,,,
14,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,HANUMANTHAPURAM,,,2,0,,,2,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180370117,037,HANUMANTHAPURAM,,,,,,,,,,,,,
15,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KATYACHARYULAPETA,,,5,0,,,5,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180380117,038,KATYACHARYULAPETA,,,,,,,,,,,,,
16,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KORLAKOTA,,,8,0,,,8,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180390118,039,KORLAKOTA,,,,,,,,,,,,,
17,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KOTHAVALASA,,,6,1,,,7,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180400120,040,KOTHAVALASA,,,,,,,,,,,,,
18,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,THOGARAGAM,,,12,1,,,13,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180410121,041,THOGARAGAM,,,,,,,,,,,,,
19,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KALIVARAM,,,18,0,,,18,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180430123,043,KALIVARAM,,,,,,,,,,,,,
20,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KANUGULAVALASA,14,1,,,,,15,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180450124,045,KANUGULAVALASA,,,,,,,,,,,,,
21,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,VANAJANGI,13,1,,,,,14,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180460125,046,VANAJANGI,,,,,,,,,,,,,
22,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,VANAJANGIPETA,6,0,,,,,6,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,18,AMADALAVALASA,01015180470125,047,VANAJANGIPETA,,,,,,,,,,,,,
